Document_No,Dominant_Topic,Dominant_Percent,All_Percent,description
215,1.0,0.9107000231742859,"[(0, 0.017858222), (1, 0.91069204), (2, 0.017864212), (3, 0.017860804), (4, 0.017863253), (5, 0.017861446)]",여러분은 그냥 편히 기다리세요..ㅋㅋㅋ 아이폰8플러스 <b>아이폰12</b>프로맥스 사이즈 아이폰8플러스 <b>아이폰12</b>프로맥스 화면을 찍으면 주변이 어두워지는데 제 능력으로는 한계가 여기입니다 ㅋㅋㅋㅋㅋㅋㅋㅋ... 
163,1.0,0.9107000231742859,"[(0, 0.01786091), (1, 0.9106906), (2, 0.017860832), (3, 0.017861867), (4, 0.017858738), (5, 0.017867036)]",3중설계로 아이폰을 보호해준다. 제주항공 그래픽 스티커 <b>아이폰12</b>/ 12프로등의 경우 후면상단과 하단이 돌출형으로 만들어졌는데 이 케이스 역시 이 부분을 모두 보호하고 있다. 사이드는 TPU 범퍼로... 
272,1.0,0.9107000231742859,"[(0, 0.01786035), (1, 0.9106934), (2, 0.01786084), (3, 0.017862706), (4, 0.017862432), (5, 0.017860297)]",참고로 저는 <b>아이폰12</b> 프로지만 다른 아이폰도 방법은 동일하기에 따라하시면 됩니다. 아이폰 설정에서 &quot;개인 정보 보호&quot;를 클릭합니다. &quot;위치 서비스&quot;를 클릭해 주세요 찾기 힘들게 제일 하단에... 
80,1.0,0.9107000231742859,"[(0, 0.017862549), (1, 0.91068923), (2, 0.017860396), (3, 0.017862791), (4, 0.017863965), (5, 0.017861042)]",출처: 쿠팡 홈페이지 이상으로 <b>아이폰 12</b> 퍼플 색상 정보였습니다:) 감사합니다!! #쿠팡<b>아이폰12</b>자급제 #쿠팡아이폰자급제 #쿠팡<b>아이폰12</b>퍼플 #쿠팡<b>아이폰12</b>퍼플자급제 #<b>아이폰12</b>퍼플 #<b>아이폰12</b>미니퍼플
63,1.0,0.9107000231742859,"[(0, 0.017861355), (1, 0.91069615), (2, 0.01786001), (3, 0.017859083), (4, 0.017859623), (5, 0.017863763)]",연 12회까지 제공돼요. (멤버십 VIP이상 등급 고객 중 나만의 콕 라이프콕 이용 고객 대상) <b>아이폰12</b>퍼플 구입하고 싶으신 분들은... 유샵에서 다양한 혜택 받고 가입하세요^^ #LG유플러스 #<b>아이폰12</b>퍼플... 
300,1.0,0.9107000231742859,"[(0, 0.017862279), (1, 0.91068095), (2, 0.017869437), (3, 0.017860765), (4, 0.01786389), (5, 0.01786265)]",작아서 더 좋은 <b>아이폰12</b> 미니 댓글 0 기타 2021. 3. 11. <b>아이폰12</b>미니 안녕하세요~ 이번 포스팅에서는 작아서 더 좋은 <b>아이폰12</b> 미니에 대해서 소개드릴게요! <b>아이폰12</b> 시리즈가 출시되면서 취향에 따라서... 
172,1.0,0.9107000231742859,"[(0, 0.017864633), (1, 0.9106858), (2, 0.017861687), (3, 0.01786113), (4, 0.01786278), (5, 0.017863998)]",기능과 아이폰보호 기능을 동시에 뿜뿜할수 있어요! 뒷면은 크리스탈 아크릴 재질이라 아주 매끈하게 <b>아이폰12</b> 범퍼케이스 끼고도 예쁜 컬러는 그대로 보여줘요 <b>아이폰12</b> 프로로 바꾸고 나서는 워낙... 
225,1.0,0.9107000231742859,"[(0, 0.01787005), (1, 0.9106895), (2, 0.017859727), (3, 0.017860418), (4, 0.017859349), (5, 0.017860977)]","<b>아이폰12</b>를 구매한 이유를 물어보니 아이폰5와 같이 각진 디자인이 가장 마음에 들었다고 해요. 저도... ※ 교체 시 수수료는 폰 출고가의 12% 또는 최소 교체수수료 50,000원 중 큰 금액으로 처리되며 기존에... "
264,1.0,0.8913000226020813,"[(0, 0.02174888), (1, 0.8912672), (2, 0.021748295), (3, 0.021747995), (4, 0.021744657), (5, 0.021742968)]",얼마 전에 <b>아이폰 12</b>미니(MINI) 모델을 메인 폰으로 사용하기 위해 갤럭시에서 아이폰으로 연락처와 데이터 그리고 사진 이동까지 백업을 진행했었다. 이전에도 아이폰을 서브 폰으로 사용하고 있었던 터라 크게... 
825,1.0,0.8913000226020813,"[(0, 0.02174936), (1, 0.89125824), (2, 0.021748358), (3, 0.021746637), (4, 0.021749832), (5, 0.021747584)]",제품의 소재는 충격에 강력한 TPU와 폴리카보네이트 소재로 제작되어 충격에도 아이폰 손상없이 오랫동안 사용이가가능합니다. 이번 <b>아이폰12</b>는 색상이 상당히 매력적으로 나왔는데요. 범퍼케이스로... 
167,1.0,0.8913000226020813,"[(0, 0.021744462), (1, 0.89127105), (2, 0.021747299), (3, 0.021744417), (4, 0.021748498), (5, 0.021744294)]",다들 아이폰 새로 샀다가 이런 경험 한번씩 있죠? 새로 구입한 <b>아이폰12</b>pro 저도 이번에 <b>아이폰12</b>pro 새로 구입하고 어떤 액정보호필름을 붙일까 고민하다가 위와 같은 생각만 해도 억울하고 짜증나는... 
